place;country;date
Pudagla;DE;20120821
Benz;DE;20120821
¦winouj¶cie;pl;20120822
¦winouj¶cie;pl;20120823
Ahlbeck;DE;20120823
Koserow;DE;20120823
Peenemunde;DE;20120823
Osowa;pl;20120825
Chwaszczyno;pl;20120825
Kielno;pl;20120825
Koleczkowo;pl;20120825
Wiczlino;pl;20120825
Osowa;pl;20120826
Matarnia;pl;20120826
Sopot;pl;20120828
Matarnia;pl;20120829
Osowa;pl;20120829
Sopot;pl;20120831
Gdañsk;pl;20120831
Matarnia;pl;20120901
Rêbiechowo;pl;20120901
Barniewice;pl;20120901
Osowa;pl;20120901
Osowa;pl;20120902
Barniewice;pl;20120902
Banino;pl;20120902
Pêpowo;pl;20120902
¯ukowo;pl;20120902
Matarnia;pl;20120903
Osowa;pl;20120903
Gdynia;pl;20120904
Wiczlino;pl;20120904
Gdynia;pl;20120906
Matarnia;pl;20120909
Le¼no;pl;20120909
Pêpowo;pl;20120909
Barniewice;pl;20120909
Osowa;pl;20120909
Osowa;pl;20120911
Barniewice;pl;20120911
Banino;pl;20120911
Osowa;pl;20120912
Matarnia;pl;20120912
Matarnia;pl;20120914
Osowa;pl;20120914
Osowa;pl;20120915
Matarnia;pl;20120915
Osowa;pl;20120916
Chwaszczyno;pl;20120916
Kielno;pl;20120916
Koleczkowo;pl;20120916
Wiczlino;pl;20120916
Osowa;pl;20120917
Bieszkowice;pl;20120917
Banino;pl;20120917
Matarnia;pl;20120920
Rêbiechowo;pl;20120920
Bieszkowice;pl;20120920
Osowa;pl;20120920
Gdañsk;pl;20120921
Osowa;pl;20120922
Matarnia;pl;20120922
Matarnia;pl;20120924
Rêbiechowo;pl;20120924
Bieszkowice;pl;20120924
Osowa;pl;20120924
Gdynia;pl;20120925
Barniewice;pl;20120926
Banino;pl;20120926
Miszewo;pl;20120926
Barniewice;pl;20120928
Rêbiechowo;pl;20120928
Gdañsk;pl;20120930
Barniewice;pl;20121001
Rêbiechowo;pl;20121001
Banino;pl;20121001
Matarnia;pl;20121002
Osowa;pl;20121002
Matarnia;pl;20121003
Osowa;pl;20121003
Matarnia;pl;20121004
Osowa;pl;20121004
Gdynia;pl;20121010
Gdañsk;pl;20121010
Matarnia;pl;20121011
Osowa;pl;20121011
Osowa;pl;20121012
Barniewice;pl;20121012
Banino;pl;20121012
Osowa;pl;20121013
Warzenko;pl;20121013
Chwaszczyno;pl;20121013
Matarnia;pl;20121014
Rêbiechowo;pl;20121014
Barniewice;pl;20121014
Matarnia;pl;20121017
Osowa;pl;20121017
Matarnia;pl;20121018
Osowa;pl;20121018
Osowa;pl;20121021
Banino;pl;20121021
Miszewo;pl;20121021
Chwaszczyno;pl;20121021
Matarnia;pl;20121022
Osowa;pl;20121022
Sopot;pl;20121024
Sopot;pl;20121026
Osowa;pl;20121028
Matarnia;pl;20121028
Banino;pl;20121028
Miszewo;pl;20121028
Przodkowo;pl;20121028
Czeczewo;pl;20121028
Chwaszczyno;pl;20121028
Osowa;pl;20121029
Chwaszczyno;pl;20121029
Kielno;pl;20121029
Koleczkowo;pl;20121029
Wiczlino;pl;20121029
Matarnia;pl;20121031
Osowa;pl;20121031
Matarnia;pl;20121102
Osowa;pl;20121102
Matarnia;pl;20121103
Osowa;pl;20121103
Osowa;pl;20121104
Banino;pl;20121104
Miszewo;pl;20121104
Pêpowo;pl;20121104
Chwaszczyno;pl;20121104
Matarnia;pl;20121106
Osowa;pl;20121106
Matarnia;pl;20121109
Osowa;pl;20121109
Osowa;pl;20121110
Banino;pl;20121110
Miszewo;pl;20121110
Pêpowo;pl;20121110
Chwaszczyno;pl;20121110
Osowa;pl;20121111
Matarnia;pl;20121111
Banino;pl;20121111
Miszewo;pl;20121111
Przodkowo;pl;20121111
Czeczewo;pl;20121111
Chwaszczyno;pl;20121111
Osowa;pl;20121113
Chwaszczyno;pl;20121113
Kielno;pl;20121113
Koleczkowo;pl;20121113
Wiczlino;pl;20121113
Matarnia;pl;20121114
Osowa;pl;20121114
Osowa;pl;20121116
Matarnia;pl;20121116
Osowa;pl;20121118
Matarnia;pl;20121118
Banino;pl;20121118
Miszewo;pl;20121118
Chwaszczyno;pl;20121118
Gdynia;pl;20121118
Osowa;pl;20121119
Warzenko;pl;20121119
Matarnia;pl;20121121
Osowa;pl;20121121
Matarnia;pl;20121123
Osowa;pl;20121123
Osowa;pl;20121125
Matarnia;pl;20121125
Banino;pl;20121125
Miszewo;pl;20121125
Chwaszczyno;pl;20121125
Gdynia;pl;20121125
Matarnia;pl;20121127
Osowa;pl;20121127
Gdañsk;pl;20121220
Gdañsk;pl;20121225
Gdañsk;pl;20121226
Osowa;pl;20121226
Gdañsk;pl;20121228
Gdañsk;pl;20121229
Osowa;pl;20121229
Matarnia;pl;20121229
Gdañsk;pl;20121230
Osowa;pl;20121230
Chawszczyno;pl;20121230
Gdynia;pl;20121230
Osowa;pl;20130102
Matarnia;pl;20130102
Gdañsk;pl;20130103
Osowa;pl;20130104
Chwaszczyno;pl;20130104
Warzenko;pl;20130104
Osowa;pl;20130105
Matarnia;pl;20130105
Rêbiechowo;pl;20130105
Barniewice;pl;20130105
Gdañsk;pl;20130107
Matarnia;pl;20130107
Osowa;pl;20130107
Gdañsk;pl;20130108
Osowa;pl;20130201
Matarnia;pl;20130201
Osowa;pl;20130203
Matarnia;pl;20130203
Gdañsk;pl;20130204
Gdañsk;pl;20130206
Gdañsk;pl;20130207
Gdañsk;pl;20130209
Gdañsk;pl;20130210
Osowa;pl;20130210
Matarnia;pl;20130210
Gdañsk;pl;20130215
Gdañsk;pl;20130216
Gdañsk;pl;20130217
Osowa;pl;20130217
Matarnia;pl;20130217
Osowa;pl;20130303
Matarnia;pl;20130303
Rêbiechowo;pl;20130303
Barniewice;pl;20130303
Gdañsk;pl;20130304
Osowa;pl;20130304
Matarnia;pl;20130304
Osowa;pl;20130305
Matarnia;pl;20130305
Osowa;pl;20130306
Matarnia;pl;20130306
Osowa;pl;20130317
Matarnia;pl;20130317
Osowa;pl;20130318
Matarnia;pl;20130318
Gdañsk;pl;20130327
Osowa;pl;20130327
Matarnia;pl;20130327
Gdañsk;pl;20130328
Osowa;pl;20130328
Chwaszczyno;pl;20130328
Bojano;pl;20130328
Koleczkowo;pl;20130328
Wiczlino;pl;20130328
Gdañsk;pl;20130329
Osowa;pl;20130329
Matarnia;pl;20130329
Gdañsk;pl;20130402
Osowa;pl;20130402
Matarnia;pl;20130402
Gdañsk;pl;20130403
Osowa;pl;20130403
Chwaszczyno;pl;20130403
Bojano;pl;20130403
Koleczkowo;pl;20130403
Wiczlino;pl;20130403
Gdañsk;pl;20130406
Osowa;pl;20130406
Chwaszczyno;pl;20130406
Bojano;pl;20130406
Koleczkowo;pl;20130406
Wiczlino;pl;20130406
Gdañsk;pl;20130407
Osowa;pl;20130407
Chwaszczyno;pl;20130407
Bojano;pl;20130407
Koleczkowo;pl;20130407
Wiczlino;pl;20130407
Gdañsk;pl;20130408
Osowa;pl;20130408
Matarnia;pl;20130408
Gdañsk;pl;20130409
Gdañsk;pl;20130410
Osowa;pl;20130410
Matarnia;pl;20130410
Osowa;pl;20130413
Matarnia;pl;20130413
Osowa;pl;20130414
Chwaszczyno;pl;20130414
Bojano;pl;20130414
Koleczkowo;pl;20130414
Wiczlino;pl;20130414
Osowa;pl;20130415
Matarnia;pl;20130415
Osowa;pl;20130416
Matarnia;pl;20130416
Gdañsk;pl;20130417
Gdañsk;pl;20130418
Matarnia;pl;20130418
Osowa;pl;20130418
Osowa;pl;20130420
Kielno;pl;20130420
Kamieñ;pl;20130420
Szemud;pl;20130420
Osowa;pl;20130421
Banino;pl;20130421
Miszewo;pl;20130421
Chwaszczyno;pl;20130421
Osowa;pl;20130423
Chwaszczyno;pl;20130423
Bojano;pl;20130423
Koleczkowo;pl;20130423
Wiczlino;pl;20130423
Osowa;pl;20130424
Matarnia;pl;20130424
Osowa;pl;20130425
Barniewice;pl;20130425
Banino;pl;20130425
Matarnia;pl;20130425
Osowa;pl;20130425
Matarnia;pl;20130425
Banino;pl;20130425
Miszewo;pl;20130425
Chwaszczyno;pl;20130425
TwardaGóra;pl;20130430
Nowe;pl;20130430
Grudzi±dz;pl;20130430
RadzyñChe³miñski;pl;20130430
Jab³onowo;pl;20130430
Brodnica;pl;20130430
TamaBrodzka;pl;20130430
TamaBrodzka;pl;20130502
Brodnica;pl;20130502
Osiek;pl;20130502
Nowe;pl;20130503
TamaBrodzka;pl;20130503
Brodnica;pl;20130503
Jab³onowo;pl;20130503
RadzyñChe³miñski;pl;20130503
Grudzi±dz;pl;20130503
Warlubie;pl;20130503
Osowa;pl;20130505
Matarnia;pl;20130505
Banino;pl;20130505
Miszewo;pl;20130505
Chwaszczyno;pl;20130505
Osowa;pl;20130506
Matarnia;pl;20130506
Matarnia;pl;20130507
Osowa;pl;20130507
Osowa;pl;20130511
Chwaszczyno;pl;20130511
Koleczkowo;pl;20130511
Wiczlino;pl;20130511
Osowa;pl;20130512
Matarnia;pl;20130512
Banino;pl;20130512
Miszewo;pl;20130512
Chwaszczyno;pl;20130512
Osowa;pl;20130513
Matarnia;pl;20130513
Osowa;pl;20130514
Chwaszczyno;pl;20130514
Koleczkowo;pl;20130514
Wiczlino;pl;20130514
Gdynia;pl;20130515
Wiczlino;pl;20130515
Osowa;pl;20130516
Barniewice;pl;20130516
Banino;pl;20130516
Pêpowo;pl;20130516
Matarnia;pl;20130518
Banino;pl;20130518
Pêpowo;pl;20130518
Miszewo;pl;20130518
Chwaszczyno;pl;20130518
Gdynia;pl;20130518
Osowa;pl;20130519
Matarnia;pl;20130519
Banino;pl;20130519
Miszewo;pl;20130519
Chwaszczyno;pl;20130519
Gdynia;pl;20130519
Matarnia;pl;20130520
Osowa;pl;20130520
Gdynia;pl;20130522
Wiczlino;pl;20130522
Koleczkowo;pl;20130522
Bojano;pl;20130522
Chwaszczyno;pl;20130522
Osowa;pl;20130522
Osowa;pl;20130523
Matarnia;pl;20130523
Osowa;pl;20130524
Barniewice;pl;20130524
